comparator_mode,system_id,seed,badness_target,mean_absolute_margin,mean_relative_margin,deployable,diagnostic
global_calibration_selected_baseline,heat_exchanger,5,bad_event,-0.01428571428571428,-0.01999999999999999,True,False
global_calibration_selected_baseline,heat_exchanger,5,bad_rmse,0.04226190476190476,0.16666666666666666,True,False
global_calibration_selected_baseline,heat_exchanger,5,bad_rmse_or_event,0.04226190476190476,0.16666666666666666,True,False
global_calibration_selected_baseline,heat_exchanger,6,bad_event,0.08214285714285714,0.18333333333333332,True,False
global_calibration_selected_baseline,heat_exchanger,6,bad_rmse,0.02976190476190476,0.058333333333333334,True,False
global_calibration_selected_baseline,heat_exchanger,6,bad_rmse_or_event,0.02976190476190476,0.058333333333333334,True,False
global_calibration_selected_baseline,heat_exchanger,7,bad_event,-0.03928571428571429,0.024999999999999988,True,False
global_calibration_selected_baseline,heat_exchanger,7,bad_rmse,0.04761904761904761,0.12000000000000001,True,False
global_calibration_selected_baseline,heat_exchanger,7,bad_rmse_or_event,0.07678571428571428,0.2866666666666667,True,False
global_calibration_selected_baseline,heat_exchanger,8,bad_event,0.07857142857142857,0.2,True,False
global_calibration_selected_baseline,heat_exchanger,8,bad_rmse,0.03511904761904761,0.1277777777777778,True,False
global_calibration_selected_baseline,heat_exchanger,8,bad_rmse_or_event,0.03511904761904761,0.1277777777777778,True,False
global_calibration_selected_baseline,heat_exchanger,9,bad_event,0.025,0.1,True,False
global_calibration_selected_baseline,heat_exchanger,9,bad_rmse,-0.004166666666666667,0.0,True,False
global_calibration_selected_baseline,heat_exchanger,9,bad_rmse_or_event,0.0375,0.15,True,False
global_calibration_selected_baseline,two_tank,0,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,two_tank,0,bad_rmse,-0.04555555555555556,0.016666666666666666,True,False
global_calibration_selected_baseline,two_tank,0,bad_rmse_or_event,-0.04555555555555556,0.016666666666666666,True,False
global_calibration_selected_baseline,two_tank,1,bad_event,0.0,0.0,True,False
