system_id,seed,model_id,split,rmse_mean,mae_mean,max_abs_error_mean,final_state_error_mean,n_scenarios
two_tank,5,gradient_boosted_narx,judge_test_id,0.0449628944972194,0.04063701789688975,0.07000025033006536,0.06736046621744814,10
two_tank,5,gradient_boosted_narx,judge_test_ood_action_magnitude,0.292291148354706,0.2500451887649659,0.48526911341980394,0.3152092514683108,10
two_tank,5,gradient_boosted_narx,judge_test_ood_combined,0.20011212190272035,0.141089892890207,0.48232426495231256,0.4703453468895352,10
two_tank,5,gradient_boosted_narx,judge_test_ood_inflow_spike,0.19767878248148824,0.13447896953397648,0.42494264310590263,0.3442384126826773,10
two_tank,5,gradient_boosted_narx,judge_test_pump_degradation,0.0916637022536961,0.06929093770264314,0.19492144886962817,0.2591780128729303,10
two_tank,5,hold_last,judge_test_id,0.281232078207387,0.25133235132339443,0.4388863205813694,0.5633456002876722,10
two_tank,5,hold_last,judge_test_ood_action_magnitude,0.7632060235470879,0.7119978140655666,0.942196792158158,1.2634968699545548,10
two_tank,5,hold_last,judge_test_ood_combined,0.5776088272365143,0.46926252578480765,1.0804485749202135,1.1797525577359518,10
two_tank,5,hold_last,judge_test_ood_inflow_spike,0.31677240661692496,0.245076357461692,0.6609152771517943,0.6718227301440793,10
two_tank,5,hold_last,judge_test_pump_degradation,0.32513133271430605,0.2984953683049594,0.4411578855528645,0.5368692791642811,10
two_tank,5,linear_narx,judge_test_id,0.015489332204530054,0.014044385458135527,0.02211838308923819,0.017924346459035474,10
two_tank,5,linear_narx,judge_test_ood_action_magnitude,0.2032173705488019,0.16719042042167195,0.34844743098899855,0.49272988392609607,10
two_tank,5,linear_narx,judge_test_ood_combined,0.13730778462176108,0.08105345324994703,0.36053795258580085,0.5085435026400446,10
two_tank,5,linear_narx,judge_test_ood_inflow_spike,0.00805887625647696,0.006888232044279791,0.013032601416981348,0.014020962494190436,10
two_tank,5,linear_narx,judge_test_pump_degradation,0.023565980082443632,0.01872952227681553,0.043704195521318615,0.05139562125610524,10
two_tank,5,mlp_state_space,judge_test_id,0.01595181717317152,0.013418094831599055,0.02910663119271333,0.02228270651100292,10
two_tank,5,mlp_state_space,judge_test_ood_action_magnitude,0.3121880377008583,0.2684082118448372,0.5319751410972611,0.3445534315010185,10
two_tank,5,mlp_state_space,judge_test_ood_combined,0.20293652425935654,0.1402629100385367,0.45601936257214,0.41160563909218634,10
two_tank,5,mlp_state_space,judge_test_ood_inflow_spike,0.23124915604929389,0.14700936923271274,0.5116393210656891,0.3851296152376296,10
two_tank,5,mlp_state_space,judge_test_pump_degradation,0.033894707297486074,0.025989873335143653,0.0805832297872366,0.09054570291598063,10
two_tank,6,ensemble_mlp,judge_test_id,0.010320009531229945,0.008334940704582966,0.019761378252215956,0.011537389195132862,10
two_tank,6,ensemble_mlp,judge_test_ood_action_magnitude,0.36403126894603816,0.32366037868624603,0.5832905755963205,0.3896189910164721,10
two_tank,6,ensemble_mlp,judge_test_ood_combined,0.21221234837240818,0.1468072629848271,0.448669471569249,0.3155406224168148,10
two_tank,6,ensemble_mlp,judge_test_ood_inflow_spike,0.16016667889679811,0.11407557295986903,0.31585816837450575,0.2923641034398784,10
two_tank,6,ensemble_mlp,judge_test_pump_degradation,0.05276503096748297,0.037007180106415745,0.12841356404126109,0.1609105920488608,10
two_tank,6,gradient_boosted_narx,judge_test_id,0.02464319203946451,0.021939437205137476,0.03994899215196703,0.04304260693034529,10
two_tank,6,gradient_boosted_narx,judge_test_ood_action_magnitude,0.24473091764470606,0.211359781301863,0.3962595717604561,0.27077991190693834,10
two_tank,6,gradient_boosted_narx,judge_test_ood_combined,0.20544799443105527,0.1418104570440322,0.4482630120623702,0.41029546038155235,10
two_tank,6,gradient_boosted_narx,judge_test_ood_inflow_spike,0.20664806658425694,0.13488746910262556,0.43714253025582755,0.36696412701870823,10
two_tank,6,gradient_boosted_narx,judge_test_pump_degradation,0.09206100538430687,0.06546949557076841,0.2057633110777013,0.279802484987366,10
two_tank,6,hold_last,judge_test_id,0.3906638859165413,0.34999049167336577,0.6035724873473978,0.7972105676948702,10
two_tank,6,hold_last,judge_test_ood_action_magnitude,0.6464384763245075,0.6029475838812567,0.7948931091337428,1.067272880224348,10
two_tank,6,hold_last,judge_test_ood_combined,0.681965214604914,0.5683150466282664,1.236758132632324,1.380221086265705,10
two_tank,6,hold_last,judge_test_ood_inflow_spike,0.28774352515206053,0.22878145861185262,0.5872139320934351,0.6169504451960903,10
two_tank,6,hold_last,judge_test_pump_degradation,0.2939052213718751,0.27025554308769073,0.4010339829149041,0.4432972454848215,10
two_tank,6,linear_narx,judge_test_id,0.009495064507147356,0.00831804099303022,0.014312868810108981,0.012220325572533877,10
two_tank,6,linear_narx,judge_test_ood_action_magnitude,0.2178689333441875,0.178422033805409,0.37374633848934835,0.5285342469904749,10
two_tank,6,linear_narx,judge_test_ood_combined,0.13891837958762662,0.08091357709038524,0.36121583270012736,0.5094272369128051,10
two_tank,6,linear_narx,judge_test_ood_inflow_spike,0.024124009671114173,0.019335779206818157,0.04885318855935923,0.018120966561873966,10
two_tank,6,linear_narx,judge_test_pump_degradation,0.017039861477174102,0.013296661942466783,0.03200770885828823,0.03984442581994577,10
two_tank,6,mlp_state_space,judge_test_id,0.010098267428078338,0.008353444663781382,0.018771015258290946,0.010202967702709,10
two_tank,6,mlp_state_space,judge_test_ood_action_magnitude,0.3725679695614286,0.33479350943520736,0.5715546025558889,0.35512273368363945,10
