system_id,seed,badness_target,coverage,mean_absolute_margin,mean_relative_margin,seed_win,false_accept_rate,baseline_far
heat_exchanger,8,bad_rmse,0.1,0.0,0.0,0.0,0.21904761904761905,0.21904761904761905
heat_exchanger,8,bad_rmse_or_event,0.05,-0.008333333333333333,-0.03333333333333333,0.0,0.21666666666666667,0.20833333333333334
heat_exchanger,8,bad_rmse_or_event,0.1,0.0,0.0,0.0,0.21904761904761905,0.21904761904761905
heat_exchanger,9,bad_event,0.05,-0.05,-0.06666666666666667,0.0,0.2,0.15
heat_exchanger,9,bad_event,0.1,-0.0857142857142857,-0.07999999999999999,0.0,0.22857142857142856,0.14285714285714285
heat_exchanger,9,bad_rmse,0.05,-0.008333333333333333,0.0,0.0,0.225,0.21666666666666667
heat_exchanger,9,bad_rmse,0.1,0.0,0.0,0.0,0.2523809523809524,0.2523809523809524
heat_exchanger,9,bad_rmse_or_event,0.05,-0.025,0.0,0.0,0.26666666666666666,0.24166666666666667
heat_exchanger,9,bad_rmse_or_event,0.1,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
two_tank,0,bad_event,0.05,0.0,0.0,0.0,0.0,0.0
two_tank,0,bad_event,0.1,0.0,0.0,0.0,0.0,0.0
two_tank,0,bad_rmse,0.05,-0.04444444444444444,0.0,0.0,0.12222222222222222,0.07777777777777777
two_tank,0,bad_rmse,0.1,-0.05333333333333334,0.0,0.0,0.15333333333333332,0.1
two_tank,0,bad_rmse_or_event,0.05,-0.04444444444444444,0.0,0.0,0.12222222222222222,0.07777777777777777
two_tank,0,bad_rmse_or_event,0.1,-0.05333333333333334,0.0,0.0,0.15333333333333332,0.1
two_tank,1,bad_event,0.05,0.0,0.0,0.0,0.0,0.0
two_tank,1,bad_event,0.1,0.0,0.0,0.0,0.0,0.0
two_tank,1,bad_rmse,0.05,-0.06666666666666667,-0.13333333333333336,0.0,0.12222222222222222,0.05555555555555555
two_tank,1,bad_rmse,0.1,-0.060000000000000005,-0.07222222222222222,0.0,0.12666666666666665,0.06666666666666667
two_tank,1,bad_rmse_or_event,0.05,-0.06666666666666667,-0.13333333333333336,0.0,0.12222222222222222,0.05555555555555555
two_tank,1,bad_rmse_or_event,0.1,-0.060000000000000005,-0.07222222222222222,0.0,0.12666666666666665,0.06666666666666667
two_tank,2,bad_event,0.05,0.0,0.0,0.0,0.0,0.0
two_tank,2,bad_event,0.1,0.0,0.0,0.0,0.0,0.0
two_tank,2,bad_rmse,0.05,-0.03333333333333333,-0.03333333333333333,0.0,0.08888888888888888,0.05555555555555555
two_tank,2,bad_rmse,0.1,-0.020000000000000004,-0.03333333333333333,0.0,0.08,0.060000000000000005
two_tank,2,bad_rmse_or_event,0.05,-0.03333333333333333,-0.03333333333333333,0.0,0.08888888888888888,0.05555555555555555
two_tank,2,bad_rmse_or_event,0.1,-0.020000000000000004,-0.03333333333333333,0.0,0.08,0.060000000000000005
two_tank,3,bad_event,0.05,0.0,0.0,0.0,0.0,0.0
two_tank,3,bad_event,0.1,0.0,0.0,0.0,0.0,0.0
two_tank,3,bad_rmse,0.05,-0.03333333333333333,0.0,0.0,0.1111111111111111,0.07777777777777778
two_tank,3,bad_rmse,0.1,-0.04000000000000001,0.0,0.0,0.13333333333333333,0.09333333333333332
two_tank,3,bad_rmse_or_event,0.05,-0.03333333333333333,0.0,0.0,0.1111111111111111,0.07777777777777778
two_tank,3,bad_rmse_or_event,0.1,-0.04000000000000001,0.0,0.0,0.13333333333333333,0.09333333333333332
two_tank,4,bad_event,0.05,0.0,0.0,0.0,0.0,0.0
two_tank,4,bad_event,0.1,0.0,0.0,0.0,0.0,0.0
two_tank,4,bad_rmse,0.05,-0.08888888888888888,0.0,0.0,0.12222222222222222,0.03333333333333333
two_tank,4,bad_rmse,0.1,-0.04666666666666666,-0.016666666666666663,0.0,0.12000000000000001,0.07333333333333333
two_tank,4,bad_rmse_or_event,0.05,-0.08888888888888888,0.0,0.0,0.12222222222222222,0.03333333333333333
two_tank,4,bad_rmse_or_event,0.1,-0.04666666666666666,-0.016666666666666663,0.0,0.12000000000000001,0.07333333333333333
two_tank,5,bad_event,0.05,0.0,0.0,0.0,0.0,0.0
two_tank,5,bad_event,0.1,0.0,0.0,0.0,0.0,0.0
two_tank,5,bad_rmse,0.05,-0.03333333333333333,-0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333
