scenario_id,system_id,role,split,split_group,scenario_type,model_id,rmse,mae,max_abs_error,final_state_error,support_distance,uncertainty_score,disagreement_score,invariant_residual,repair_amount,bad_rmse_label,risk_support_only,risk_uncertainty_only,risk_disagreement_only,risk_invariant_only,risk_repair_only,risk_combined_linear,risk_random_baseline,risk_oracle_error_rank,risk_best_single_signal_selected_on_calibration,risk_rank_normalized_linear,risk_calibration_selected_candidate_ranker,risk_logistic_calibrated_judge,risk_isotonic_calibrated_judge,risk_quantile_rule_judge,risk_conservative_low_coverage_judge,true_any_event,predicted_any_event,true_overflow_event,predicted_overflow_event,bad_overflow_event,true_underflow_event,predicted_underflow_event,bad_underflow_event,bad_event,true_temperature_above_limit,predicted_temperature_above_limit,bad_temperature_above_limit,true_concentration_out_of_safe_range,predicted_concentration_out_of_safe_range,bad_concentration_out_of_safe_range,true_unsafe_reactor_state,predicted_unsafe_reactor_state,bad_unsafe_reactor_state
judge_test_unsafe_temperature_event_0031,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,mlp_state_space,7.410073875051227,3.981509917307229,20.04452186434031,20.044540948813054,25.879881779008,0.0020372196952582,6.250378373313771,0.3942532093529157,0.0,True,25.879881779008,0.0020372196952582,6.250378373313771,0.3942532093529157,0.0,0.4928276418530243,0.5722139211894425,7.410073875051227,0.3942532093529157,0.8933333333333333,0.8933333333333333,0.9999999363597354,1.0,0.3942532093529157,1.7046304390225977,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0032,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,hold_last,10.668782539338936,6.032208655723213,28.2732809962705,28.273881197107663,25.73058791997611,0.0,6.37762289008273,0.6456392701409218,0.0,True,25.73058791997611,0.0,6.37762289008273,0.6456392701409218,0.0,0.5204668402878088,0.7197004778298105,10.668782539338936,0.6456392701409218,0.9638095238095238,0.9638095238095238,0.999999999895826,1.0,0.6456392701409218,1.908837623661326,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0032,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,linear_narx,1.1252998272379788,0.6229619638584444,2.814423184976249,2.8144535133164834,25.73058791997611,0.0117896821223934,6.37762289008273,0.0599043058749138,0.0,True,25.73058791997611,0.0117896821223934,6.37762289008273,0.0599043058749138,0.0,0.5821387115160068,0.1731959280023506,1.1252998272379788,0.0599043058749138,0.5428571428571428,0.5428571428571428,0.9976230611212846,1.0,0.0599043058749138,1.7356909328674797,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0032,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,mlp_state_space,7.250819037666203,3.888114671646755,19.660429870546352,19.66044370366042,25.73058791997611,0.0020653835963142,6.37762289008273,0.3873786287202623,0.0,True,25.73058791997611,0.0020653835963142,6.37762289008273,0.3873786287202623,0.0,0.4945127220814457,0.6098430216073494,7.250819037666203,0.3873786287202623,0.8857142857142857,0.8857142857142857,0.9999999331375732,1.0,0.3873786287202623,1.7094246125153894,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0033,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,hold_last,11.800966156756813,6.909828828147872,30.42056737582851,30.423170332557163,25.956880493386347,0.0,7.124655419563354,0.7861112350103789,0.0,True,25.956880493386347,0.0,7.124655419563354,0.7861112350103789,0.0,0.5792212957334825,0.0636205464565774,11.800966156756813,0.7861112350103789,0.9895238095238096,0.9895238095238096,0.9999999999980812,1.0,0.7861112350103789,2.156643961416024,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0033,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,linear_narx,1.1594168006457286,0.651321253016893,2.899746832527626,2.89981996493582,25.956880493386347,0.0117896821224605,7.124655419563354,0.0721154185558677,0.0,True,25.956880493386347,0.0117896821224605,7.124655419563354,0.0721154185558677,0.0,0.6106028739803373,0.3510244532988419,1.1594168006457286,0.0721154185558677,0.5733333333333334,0.5733333333333334,0.9992183849152628,1.0,0.0721154185558677,1.844167930098918,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0033,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,mlp_state_space,7.524827486030442,4.075614150410859,20.1329032868926,20.13304628958324,25.956880493386347,0.0020211011605582,7.124655419563354,0.4255234555000856,0.0,True,25.956880493386347,0.0020211011605582,7.124655419563354,0.4255234555000856,0.0,0.5283502263424775,0.2744858090307281,7.524827486030442,0.4255234555000856,0.9276190476190476,0.9276190476190476,0.9999999879128164,1.0,0.4255234555000856,1.844333766423332,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0034,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,hold_last,11.58764440146687,6.818356437399789,29.877102325737724,29.87999373070852,25.91046850366409,0.0,7.063885298364077,0.812947692687464,0.0,True,25.91046850366409,0.0,7.063885298364077,0.812947692687464,0.0,0.5832505544582155,0.0863139063749781,11.58764440146687,0.812947692687464,0.9952380952380953,0.9952380952380953,0.9999999999988708,1.0,0.812947692687464,2.177296261757127,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0034,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,linear_narx,1.0413078156349236,0.5972243223919458,2.533466372801911,2.5335071477417337,25.91046850366409,0.0117896821224095,7.063885298364077,0.0589498367610575,0.0,True,25.91046850366409,0.0117896821224095,7.063885298364077,0.0589498367610575,0.0,0.6051851855272152,0.6520296054470092,1.0413078156349236,0.0589498367610575,0.5371428571428571,0.5371428571428571,0.9988707438583642,1.0,0.0589498367610575,1.8213661469494824,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0034,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,mlp_state_space,7.278576637008677,3.928508313652313,19.594680624918222,19.59475156968018,25.91046850366409,0.0021227205443753,7.063885298364077,0.403974834387119,0.0,True,25.91046850366409,0.0021227205443753,7.063885298364077,0.403974834387119,0.0,0.5226766553740279,0.749534862768125,7.278576637008677,0.403974834387119,0.9038095238095238,0.9038095238095238,0.9999999782112964,1.0,0.403974834387119,1.816417439796904,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
